ros_time_s,window_s,status,fusion_status,visualization_status,reasons,input_hz,unique_input_hz,prepared_hz,fusion_hz,target_hz,duplicate_frames,no_pose_frames,empty_frames,coalesced_frames,avg_input_points,avg_prepared_points,decode_avg_ms,decode_max_ms,filter_avg_ms,filter_max_ms,sliding_avg_ms,sliding_max_ms,projection_avg_ms,projection_max_ms,raycast_avg_ms,raycast_max_ms,fusion_avg_ms,fusion_max_ms,queue_avg_ms,queue_max_ms,visualization_hz,visualization_target_hz,visualization_dropped,visualization_avg_ms,visualization_max_ms,visualization_avg_points,process_cpu_percent,system_cpu_percent,memory_percent,process_rss_mb,load_1m,cpu_pressure_percent,memory_pressure_percent
1785925794.338517,5.000485,DEGRADED,DEGRADED,inactive,upstream_unique_input_low,0.000000,0.000000,0.000000,0.000000,10.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0,0.000000,0.000000,0.000000,4.399573,11.201422,11.957467,127.132812,0.710000,4.075164,0.000000
1785926088.510584,5.000434,DEGRADED,DEGRADED,DEGRADED,upstream_unique_input_low;visualization_timer_or_executor_delay,0.000000,0.000000,0.000000,0.000000,10.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.599774,5.000000,0,1.954643,3.259000,0.000000,5.399532,17.073785,14.142369,127.878906,1.460000,5.953464,0.000000
1785926093.510726,4.999905,DEGRADED,DEGRADED,OK,upstream_unique_input_low,0.000000,0.000000,0.000000,0.000000,10.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000095,5.000000,0,2.572720,5.616000,0.000000,4.000075,22.830189,14.160529,127.910156,1.500000,9.237893,0.000000
1785926098.510688,5.000058,DEGRADED,DEGRADED,OK,upstream_unique_input_low,0.000000,0.000000,0.000000,0.000000,10.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999942,5.000000,0,2.836600,4.975000,0.000000,3.799955,20.415356,13.848923,127.933594,1.460000,6.674341,0.000000
1785926103.510645,5.000009,DEGRADED,DEGRADED,OK,upstream_unique_input_low,0.000000,0.000000,0.000000,0.000000,10.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999991,5.000000,0,2.343040,4.486000,0.000000,3.799996,19.730716,13.745506,127.972656,1.420000,6.596652,0.000000
1785926108.511025,5.000480,DEGRADED,DEGRADED,OK,upstream_unique_input_low,0.000000,0.000000,0.000000,0.000000,10.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999520,5.000000,0,2.690080,3.447000,0.000000,3.799634,22.913257,13.853563,128.011719,1.630000,7.151671,0.000000
1785926113.511558,5.000315,DEGRADED,DEGRADED,OK,upstream_unique_input_low,0.000000,0.000000,0.000000,0.000000,10.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.999685,5.000000,0,2.713920,4.381000,0.000000,4.199736,22.236260,13.837890,128.019531,1.660000,7.126572,0.000000
1785926118.510591,4.999199,DEGRADED,DEGRADED,OK,upstream_unique_input_low,0.000000,0.000000,0.000000,0.000000,10.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000802,5.000000,0,1.889000,3.280000,0.000000,3.200513,22.261573,13.856660,128.066406,1.610000,6.854738,0.000000
1785926123.513830,5.003110,DEGRADED,DEGRADED,OK,upstream_unique_input_low;upstream_repeated_cloud;fusion_queue_coalescing,24.384832,8.594654,8.594654,7.595275,10.000000,79,0,0,5,933.395349,901.581395,0.059089,0.104482,0.819709,4.165892,0.009765,0.032406,0.001801,0.003073,19.704151,27.438403,19.712172,27.446226,22.870490,41.853084,5.196767,5.000000,0,3.098560,4.303000,1092.923077,28.582224,25.998483,13.886650,130.898438,1.720000,8.354944,0.000000
1785926128.510848,4.996862,DEGRADED,DEGRADED,OK,upstream_unique_input_low;upstream_repeated_cloud;fusion_queue_coalescing,25.015699,7.804898,7.804898,7.404647,10.000000,86,0,0,2,938.153846,938.153846,0.059247,0.098616,0.734580,1.073880,0.009219,0.018997,0.001722,0.004470,19.250197,27.535622,19.257898,27.544283,20.643466,48.937504,4.602889,5.000000,0,3.200783,5.280000,1425.782609,24.615429,25.845686,12.836660,131.542969,1.740000,9.283098,0.000000
1785926133.510720,5.000038,OK,OK,inactive,none,24.999810,9.799926,9.799926,9.799926,10.000000,76,0,0,0,935.510204,935.510204,0.059910,0.097499,0.915628,1.255746,0.009384,0.015644,0.001676,0.002794,20.259079,22.807927,20.266348,22.817984,22.269795,41.234570,0.000000,5.000000,0,0.000000,0.000000,0.000000,28.199806,11.786349,12.881925,132.699219,1.760000,2.958780,0.000000
1785926138.510803,5.000001,DEGRADED,DEGRADED,inactive,upstream_repeated_cloud;fusion_queue_coalescing,24.999994,9.399998,9.399998,8.999998,10.000000,78,0,0,2,937.510638,937.510638,0.065781,0.096101,0.924895,1.202946,0.010170,0.028216,0.001732,0.003352,20.647913,23.107127,20.655145,23.113272,21.246400,40.922520,0.000000,5.000000,0,0.000000,0.000000,0.000000,27.399994,10.602593,12.932116,133.566406,2.020000,2.459159,0.000000
1785926143.510592,5.000018,OK,OK,inactive,none,24.999912,9.799966,9.799966,9.199968,10.000000,76,0,0,3,936.795918,936.795918,0.064322,0.098336,0.926346,1.057118,0.008592,0.013689,0.001816,0.003911,20.391904,25.272206,20.399623,25.284219,22.081189,41.299663,0.000000,5.000000,0,0.000000,0.000000,0.000000,27.799894,10.050826,12.931705,133.597656,2.020000,2.310331,0.000000
1785926148.510571,4.999979,OK,OK,inactive,none,25.000106,9.600041,9.600041,9.200039,10.000000,77,0,0,2,923.208333,923.208333,0.057148,0.149460,0.807912,1.211327,0.008852,0.031289,0.001694,0.003073,19.680471,22.957387,19.687935,22.964930,21.839987,41.303294,0.000000,5.000000,0,0.000000,0.000000,0.000000,26.200105,10.458015,12.938920,133.628906,2.020000,2.475650,0.000000
1785926153.510813,5.000004,DEGRADED,DEGRADED,inactive,upstream_repeated_cloud;fusion_queue_coalescing,24.999978,9.199992,9.199992,8.799992,10.000000,79,0,0,2,936.586957,936.586957,0.064424,0.102807,0.932739,1.226133,0.008897,0.017880,0.001848,0.003073,20.654809,22.551190,20.662745,22.557615,22.025304,40.853237,0.000000,5.000000,0,0.000000,0.000000,0.000000,26.799975,8.629248,12.995218,133.644531,2.020000,2.058978,0.000000
1785926158.510774,5.000000,DEGRADED,DEGRADED,inactive,upstream_unique_input_low;upstream_repeated_cloud;fusion_queue_coalescing,25.000000,8.600000,8.600000,8.400000,10.000000,82,0,0,1,936.348837,936.348837,0.061558,0.098057,0.869878,1.287594,0.008069,0.013130,0.001842,0.003352,21.045559,22.986441,21.053434,22.991190,25.915904,41.177021,0.000000,5.000000,0,0.000000,0.000000,0.000000,26.200018,9.252896,12.958934,133.675781,2.010000,2.049741,0.000000
1785926163.510592,5.000001,DEGRADED,DEGRADED,inactive,upstream_repeated_cloud;fusion_queue_coalescing,24.999993,9.399997,9.399997,8.999997,10.000000,78,0,0,2,895.659574,895.659574,0.059897,0.093308,0.857829,1.130031,0.008696,0.015085,0.001726,0.003073,20.695691,25.139788,20.702929,25.147888,22.642983,41.291561,0.000000,5.000000,0,0.000000,0.000000,0.000000,27.199976,10.532319,12.974184,133.695312,2.010000,2.404778,0.000000
1785926168.510715,4.999997,DEGRADED,DEGRADED,inactive,upstream_repeated_cloud;fusion_queue_coalescing,25.000017,9.200006,9.200006,8.800006,10.000000,79,0,0,2,905.065217,905.065217,0.058053,0.084648,0.843428,1.155174,0.007579,0.015086,0.001759,0.003073,19.948593,21.432054,19.956447,21.439037,23.561812,41.267814,0.000000,5.000000,0,0.000000,0.000000,0.000000,26.600025,8.558786,13.032535,133.730469,2.010000,1.893082,0.000000
1785926173.510708,5.000004,OK,OK,inactive,none,24.799979,9.399992,9.399992,9.199992,10.000000,77,0,0,1,896.680851,853.085106,0.062031,0.126273,0.850958,1.105448,0.009427,0.024584,0.001810,0.003073,19.669788,23.166352,19.677556,23.171939,24.166157,41.315865,0.000000,5.000000,0,0.000000,0.000000,0.000000,30.399986,9.105814,13.118997,133.531250,2.010000,1.743639,0.000000
1785926178.510808,5.000000,DEGRADED,DEGRADED,inactive,upstream_repeated_cloud;fusion_queue_coalescing,25.000001,9.200001,9.200001,8.800000,10.000000,79,0,0,2,873.869565,838.608696,0.058345,0.087162,0.834791,1.017447,0.008126,0.013410,0.001752,0.003353,18.471850,21.386796,18.479279,21.394339,23.726879,41.252170,0.000000,5.000000,0,0.000000,0.000000,0.000000,24.199997,8.377425,13.069926,133.550781,2.010000,1.669160,0.000000
1785926183.510539,4.999993,OK,OK,inactive,none,25.000035,9.400013,9.400013,9.200013,10.000000,78,0,0,1,922.404255,894.723404,0.056479,0.090793,0.807668,1.070527,0.008084,0.024863,0.001719,0.004190,18.870694,22.521019,18.878620,22.527723,23.566767,41.251332,0.000000,5.000000,0,0.000000,0.000000,0.000000,32.000052,11.115321,13.126498,133.585938,2.010000,2.743744,0.000000
1785926188.510716,5.000004,DEGRADED,DEGRADED,inactive,upstream_repeated_cloud;fusion_queue_coalescing,24.999979,9.199992,9.199992,8.799993,10.000000,79,0,0,2,892.804348,842.652174,0.053602,0.082971,0.736431,1.153219,0.008302,0.021232,0.001664,0.003911,17.969501,22.714618,17.976802,22.722161,24.951654,41.381516,0.000000,5.000000,0,0.000000,0.000000,0.000000,19.399972,9.061080,13.098461,133.621094,2.090000,1.902177,0.000000
1785926193.510522,4.999988,OK,OK,inactive,none,25.000061,9.800024,9.800024,9.600024,10.000000,76,0,0,1,910.673469,863.469388,0.059100,0.102807,0.854527,1.063823,0.008261,0.015365,0.001682,0.003632,18.546159,20.778060,18.554570,20.784206,24.116066,42.175193,0.000000,5.000000,0,0.000000,0.000000,0.000000,21.400066,9.098940,13.025420,133.636719,2.080000,2.014886,0.000000
1785926198.510656,5.000013,OK,OK,inactive,none,24.999936,9.399976,9.399976,9.199976,10.000000,78,0,0,1,927.638298,880.297872,0.060170,0.102248,0.841983,1.095949,0.009183,0.031010,0.001597,0.002794,19.115242,21.319190,19.122481,21.325057,22.468608,41.238482,0.000000,5.000000,0,0.000000,0.000000,0.000000,21.199940,8.796355,12.969557,133.671875,2.150000,2.071974,0.000000
1785926203.510800,5.000003,OK,OK,inactive,none,24.999986,9.999994,9.999994,9.799995,10.000000,75,0,0,1,951.620000,898.000000,0.056862,0.079898,0.845007,1.106006,0.007431,0.025981,0.001790,0.003073,19.018601,25.002898,19.026378,25.012397,24.645551,41.382355,0.000000,5.000000,0,0.000000,0.000000,0.000000,22.399979,8.644949,12.951346,133.691406,1.980000,1.759638,0.000000
1785926208.510722,4.999998,OK,OK,inactive,none,25.000008,9.600003,9.600003,9.400003,10.000000,77,0,0,1,954.812500,904.895833,0.058288,0.092190,0.827526,1.139531,0.008317,0.019835,0.001605,0.002794,19.694105,22.219584,19.701452,22.224892,23.247439,41.127853,0.000000,5.000000,0,0.000000,0.000000,0.000000,21.800013,8.604740,13.018429,133.710938,1.820000,1.822701,0.000000
