stamp,ax,ay,az,gx,gy,gz,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bw_x,bw_y,bw_z,ba_x,ba_y,ba_z
1782727127.427850485,-4.333419452,0.151354831,8.823733457,0.005046021,-0.006968270,0.000042237,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.973078612,-0.002981917,0.230454168,0.000000000,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.432035446,-4.194145225,-0.004728353,8.691663071,-0.000280302,-0.009098799,0.008564353,0.000001022,0.000001140,-0.000000532,0.000488512,0.000544766,-0.000254466,0.973079761,-0.002996264,0.230449126,0.000022472,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.437763691,-4.124508112,-0.184824326,8.650841315,0.002915494,-0.011229329,0.008564353,0.000006631,0.000003631,-0.000005008,0.001469841,0.000325003,-0.001308070,0.973082730,-0.003016059,0.230436323,0.000065828,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.442048311,-4.244572100,-0.247257600,8.653242594,0.014633399,0.001553846,0.006433826,0.000014217,0.000003557,-0.000012348,0.002071347,-0.000359777,-0.002118241,0.973082369,-0.003015846,0.230437844,0.000092321,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.447608948,-4.439075761,-0.240053760,8.677255392,0.009307079,-0.001641948,0.001107503,0.000025829,-0.000001341,-0.000025775,0.002105153,-0.001401788,-0.002710951,0.973078855,-0.003009315,0.230452756,0.000114530,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.452089071,-4.463088559,-0.223244802,8.847746255,0.003980756,-0.003772477,-0.005284086,0.000034781,-0.000009373,-0.000037626,0.001890791,-0.002183747,-0.002579838,0.973077364,-0.003018686,0.230458925,0.000122419,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.457875967,-4.304604094,-0.151206418,8.862153933,0.019959722,0.004749639,-0.005284086,0.000046626,-0.000024181,-0.000051191,0.002203177,-0.002934018,-0.002108341,0.973073355,-0.003017926,0.230475865,0.000120032,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.462211370,-4.410260404,-0.129594901,8.766102743,0.012502875,0.003684375,-0.012740932,0.000056738,-0.000037683,-0.000060023,0.002461634,-0.003294694,-0.001965841,0.973068516,-0.003010233,0.230496397,0.000108226,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.467768908,-4.266183618,-0.168015368,8.653242594,0.005046021,-0.011229329,-0.015936732,0.000070883,-0.000057412,-0.000072015,0.002628524,-0.003805255,-0.002349594,0.973067370,-0.003023943,0.230501067,0.000083533,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
1782727127.472078800,-4.148520910,-0.292881915,8.590809321,0.017829198,-0.006968270,-0.018067256,0.000083211,-0.000075428,-0.000084051,0.003092458,-0.004555011,-0.003235733,0.973069144,-0.003030312,0.230493503,0.000057511,0.011528156,-0.005530163,-0.004559705,0.000000000,-0.000000000,0.000000000
